id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
1106,"2021 Copa Do Brasil, Third Round",Gremio,Brasiliense,1,0,61, 39,2,,17,9,4,4,0,0,2,3,3,7
1107,Brasileirao 2017,Avai,Athletico-PR,0,3,37, 63,2,,19,15,1,1,0,0,2,0,5,10
1108,"2019 Campeonato Gaucho, Regular Season",Caxias do Sul,Gremio,6,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1109,2019 Brasileirao,Flamengo,Goias,2,1,73, 27,1,,8,9,2,2,0,0,0,3,12,0
1110,Brasileirao 2018,Flamengo,Atletico-MG,3,0,51, 49,3,,26,15,2,2,0,0,2,1,4,6
1111,2017 Serie B,Goias,CRB,1,2,40, 60,5,,20,13,1,1,1,1,1,3,5,6
1112,Brasileirao 2018,Vitoria,Athletico-PR,3,0,52, 48,5,,15,23,3,3,1,0,0,4,3,4
1113,2019 Brasileirao,Gremio,Botafogo,3,0,52, 48,2,,13,9,2,2,0,0,1,0,5,7
1114,2020 Brasileiro Serie A,Bahia,Vasco da Gama,4,3,47, 53,1,,18,15,2,2,0,1,0,1,4,6
1115,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Vasco da Gama,Boavista,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1116,Brasileirao 2017,Corinthians,Bahia,1,0,48, 52,1,,15,12,2,2,1,1,2,2,5,9
1117,"2020 Copa Do Brasil, First Round",Manaus,Coritiba,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1118,2022 Brasileiro Serie A,Ceara,Cuiaba,0,3,66, 34,0,,11,20,4,4,0,1,3,1,10,7
1119,2021 Brasileiro Serie B,Cruzeiro,Avai,0,1,63, 37,1,,8,16,3,3,0,0,3,0,13,2
1120,2022 Brasileiro Serie A,Fortaleza,Cuiaba,2,1,65, 35,3,,22,23,3,3,0,0,1,0,7,1
1121,Brasileirao 2018,Vasco da Gama,Atletico-MG,2,2,66, 34,5,,11,18,3,3,0,0,3,3,9,3
1122,"2018 Copa Libertadores, Group Stage",Flamengo,River Plate,0,1,56, 44,2,,14,25,3,3,0,0,3,0,3,2
1123,2021 Brasileiro Serie A,Internacional,Atletico-MG,1,0,57, 43,1,,13,13,1,1,0,0,1,0,8,1
1124,2021 Brasileiro Serie A,Gremio,Fluminense,1,1,47, 53,5,,18,9,1,1,0,0,0,1,6,0
1125,"2018 Copa Do Brasil, Semifinals",Cruzeiro,Palmeiras,0,1,47, 53,1,,15,13,5,5,1,2,3,1,7,6
1126,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",America TO,Cruzeiro,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1127,Brasileirao 2017,Santos,Atletico-GO,4,0,56, 44,3,,15,14,1,1,0,0,4,3,10,2
1128,2022 Brasileiro Serie A,Red Bull Bragantino,Atletico-GO,2,1,58, 42,3,,12,9,4,4,0,0,1,2,13,2
1129,2022 Brasileiro Serie A,Palmeiras,America-MG,1,0,58, 42,1,,11,11,2,2,0,0,1,2,10,3
1130,Brasileirao 2017,Gremio,Bahia,3,1,64, 36,3,,15,16,1,1,0,0,2,0,12,4
1131,Brasileirao 2017,Athletico-PR,Fluminense,1,2,53, 47,1,,15,13,3,3,0,0,7,4,5,3
1132,2020 Brasileiro Serie A,Athletico-PR,Gremio,4,1,65, 35,1,,15,11,1,1,0,0,1,1,4,2
1133,2019 Brasileirao,Fluminense,Cruzeiro,0,4,54, 46,2,,20,12,2,2,0,0,0,1,10,2
1134,"2021 Campeonato Carioca, Taca Guanabara",Macae,Fluminense,5,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1135,"2019-20 Campeonato Carioca, 2020 Taca Rio",Fluminense,Madureira,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1136,2019 Brasileirao,Vasco da Gama,Goias,1,1,48, 52,6,,22,16,2,2,0,0,3,1,3,16
1137,2021 Brasileiro Serie B,Operario PR,Goias,0,0,54, 46,4,,16,16,1,1,1,0,0,1,7,10
1138,Brasileirao 2018,Parana,Athletico-PR,2,0,31, 69,1,,8,14,1,1,0,0,1,1,10,4
1139,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",America-MG,Tupi,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1140,"2022 Campeonato Gaucho, First Round",Gremio,Caxias do Sul,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1141,"2018 Copa Sudamericana, First Phase",Fluminense,Nacional Potosi,2,1,75, 25,1,,18,18,5,5,0,1,0,1,5,3
1142,"2020 Copa Do Brasil, Round of 16",Internacional,Atletico-GO,2,1,58, 42,0,,23,7,2,2,0,0,3,0,1,6
1143,2021 Brasileiro Serie A,Cuiaba,Santos,0,0,36, 64,4,,11,11,1,1,0,0,0,1,3,5
1144,Brasileirao 2017,Ponte Preta,Fluminense,0,1,46, 54,3,,14,12,1,1,0,0,2,4,12,5
1145,Brasileirao 2017,Vitoria,Coritiba,1,0,52, 48,7,,19,16,3,3,0,0,7,4,9,6
1146,2020 Brasileiro Serie A,Corinthians,Sao Paulo,0,1,38, 62,6,,12,8,1,1,0,0,0,1,4,5
1147,"2018 Copa Libertadores, Round of 16",Cruzeiro,Flamengo,2,0,38, 62,1,,15,18,4,4,0,0,2,2,5,7
1148,"2018 Brazilian Campeonato Miniero, Brasil Mineiro - Finals",Cruzeiro,Atletico-MG,4,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1149,"2018 Campeonato Gaucho, Regular Season",Internacional,Sao Jose-RS,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1150,2021 Brasileiro Serie A,Internacional,Ceara,0,1,61, 39,1,,16,23,3,3,0,0,1,1,6,7
1151,"2022 Brazilian Campeonato Mineiro, Regular Season",Pouso Alegre,America-MG,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1152,"2020 Brazilian Campeonato Mineiro, Regular Season",Cruzeiro,Uberlandia,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1153,2021 Brasileiro Serie B,Goias,Cruzeiro,0,0,57, 43,1,,15,14,1,1,0,0,0,1,6,4
1154,"2020 Campeonato Gaucho, Second Round - Group Stage",Novo Hamburgo,Gremio,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1155,2020 Brasileiro Serie A,Atletico-GO,Vasco da Gama,1,0,44, 56,6,,19,17,2,2,0,0,2,2,3,4
1156,"2020 Copa Do Brasil, Second Round",Vasco da Gama,ABC,1,0,60, 40,1,,10,14,3,3,0,0,3,1,7,5
1157,2020 Brasileiro Serie A,Internacional,Goias,1,2,41, 59,4,,14,14,2,2,0,0,2,1,6,2
1158,2022 Brasileiro Serie A,America-MG,Fortaleza,3,3,67, 33,2,,10,24,2,2,0,1,1,1,4,8
1159,Brasileirao 2017,Cruzeiro,Gremio,2,1,55, 45,4,,12,14,2,2,0,0,0,0,2,8
1160,Brasileirao 2018,Internacional,Athletico-PR,2,0,63, 37,3,,9,20,3,3,0,0,1,1,11,6
1161,2019 Brasileirao,Santos,CSA,1,0,62, 38,2,,13,12,2,2,1,0,1,2,10,4
1162,Brasileirao 2017,Atletico-GO,Coritiba,2,1,50, 50,3,,27,20,3,3,0,0,1,0,6,5
1163,2017 Serie B,Brasil de Pelotas,Goias,1,1,48, 51,0,,16,9,4,4,0,0,5,0,13,15
1164,2022 Brasileiro Serie A,Internacional,Atletico-GO,0,0,45, 55,4,,7,16,2,2,0,0,0,0,3,12
1165,"2017 Copa Do Brasil, Round of 16",Santa Cruz,Athletico-PR,1,0,50, 50,4,,13,18,3,3,0,0,0,3,6,4
1166,Brasileirao 2018,Athletico-PR,Corinthians,0,0,49, 51,1,,18,14,4,4,0,0,1,0,8,5
1167,2022 Brasileiro Serie A,Fortaleza,Atletico-MG,2,0,31, 69,3,,22,10,1,1,0,0,3,0,2,11
1168,2022 Brasileiro Serie A,Cuiaba,Botafogo,3,0,47, 53,2,,7,11,1,1,0,2,2,2,5,2
1169,Brasileirao 2018,Athletico-PR,Flamengo,2,0,33, 67,6,,15,10,1,1,0,0,3,1,5,5
1170,"2022 Brazilian Campeonato Mineiro, Regular Season",America-MG,Democrata GV,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1171,Brasileirao 2018,Cruzeiro,Bahia,3,0,54, 46,0,,14,13,2,2,0,0,3,2,3,5
1172,2021 Brasileiro Serie B,CSA,Coritiba,2,1,30, 70,0,,19,14,2,2,0,0,2,1,4,6
1173,2021 Brasileiro Serie A,Gremio,Chapecoense,4,1,54, 46,1,,14,10,3,3,0,0,2,0,9,3
1174,2019 Brasileirao,Flamengo,Corinthians,2,2,69, 31,3,,12,10,1,1,0,0,1,2,8,2
1175,2021 Brasileiro Serie A,Red Bull Bragantino,Fluminense,1,1,47, 53,2,,11,8,1,1,0,0,0,2,10,10
1176,2021 Brasileiro Serie A,Fortaleza,Sao Paulo,0,0,41, 59,2,,15,11,5,5,0,0,5,3,6,5
1177,2019 Brasileirao,Avai,Sao Paulo,1,2,37, 63,3,,17,17,2,2,0,0,1,1,4,10
1178,Brasileirao 2017,Ponte Preta,Atletico-MG,2,0,41, 59,4,,20,19,4,4,0,0,1,2,3,4
1179,"2019 Copa Libertadores, Round of 16",Emelec,Flamengo,0,0,31, 69,2,,16,16,4,4,1,0,1,3,4,7
1180,2022 Brasileiro Serie A,Fortaleza,Athletico-PR,0,0,63, 37,0,,13,12,3,3,0,0,1,2,7,1
1181,"2021 Copa Libertadores, Round of 16",Atletico-MG,Boca Juniors,2,2,63, 37,2,,15,22,3,3,0,0,2,7,3,5
1182,2021 Brasileiro Serie B,Cruzeiro,Vitoria,1,2,60, 40,1,,18,19,4,4,0,0,0,0,4,4
1183,2021 Brasileiro Serie A,Internacional,Flamengo,1,0,52, 48,6,,14,13,1,1,0,0,3,3,8,5
1184,Brasileirao 2017,Santos,Palmeiras,1,0,46, 54,6,,16,14,3,3,0,0,2,3,10,8
1185,"2017 Campeonato Gaucho, Regular Season",Gremio,Passo Fundo,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1186,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",Boa Esporte,Cruzeiro,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1187,"2022 Campeonato Paulista, Temporada Regular",Sao Bernardo,Red Bull Bragantino,2,1,42, 58,2,,17,11,1,1,0,0,0,3,3,8
1188,"2019-20 Campeonato Carioca, 2020 Taca Rio",Botafogo,Boavista,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1189,"2017 Copa Libertadores, Group Stage",Palmeiras,Penarol,1,2,61, 39,2,,18,24,6,6,1,0,1,1,3,3
1190,"2017 Copa Do Brasil, Second Round",Vila Nova-GO,Vasco da Gama,1,3,40, 60,2,,23,15,4,4,0,0,1,2,3,2
1191,"2022 CONMEBOL Libertadores, Group Stage",Emelec,Palmeiras,1,1,56, 44,3,,10,7,2,2,0,0,5,4,11,1
1192,"2017 Campeonato Gaucho, Regular Season",Gremio,Sao Jose-RS,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1193,2021 Brasileiro Serie B,Operario PR,Vasco da Gama,0,2,40, 60,4,,18,14,3,3,0,1,2,1,6,6
1194,2019 Brasileirao,Avai,Internacional,2,0,30, 70,8,,7,16,3,3,1,0,0,2,6,8
1195,2019 Brasileirao,Athletico-PR,Gremio,2,0,59, 41,3,,22,9,4,4,0,1,0,3,6,2
1196,2020-21 Brasileiro Serie B,Cruzeiro,Parana,1,0,41, 59,1,,17,13,3,3,0,0,3,0,4,4
1197,"2022 CONMEBOL Sudamericana, Quarterfinals",Sao Paulo,Ceara,0,2,58, 42,2,,7,7,2,2,0,0,1,2,11,3
1198,2020 Brasileiro Serie A,Coritiba,Ceara,1,2,62, 37,0,,12,10,0,0,0,0,2,1,18,3
1199,Brasileirao 2018,Santos,Internacional,3,0,61, 39,2,,10,20,4,4,1,0,1,1,7,2
1200,2022 Brasileiro Serie B,Gremio,Tombense,0,1,55, 45,4,,11,10,2,2,0,0,1,0,7,2
1201,2017 Serie B,ABC,America-MG,2,0,34, 65,0,,18,10,0,0,0,0,1,4,2,11
1202,Brasileirao 2017,Bahia,Corinthians,0,1,47, 53,3,,11,16,2,2,0,0,2,2,8,4
1203,2022 Brasileiro Serie A,Ceara,Fluminense,3,1,30, 70,4,,11,8,2,2,1,0,2,2,4,7
1204,2022 Brasileiro Serie A,America-MG,Avai,1,0,48, 52,2,,16,17,0,0,0,0,0,2,7,7
1205,"2019 Campeonato Paulista, Temporada Regular",Sao Paulo,Sao Bento,5,3,63, 37,1,,11,22,3,3,0,0,0,4,7,6
1206,"2022 Campeonato Carioca, Taca Guanabara",Portuguesa-RJ,Botafogo,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1207,2022 Brasileiro Serie A,Ceara,Sao Paulo,1,2,39, 61,5,,15,11,2,2,2,0,0,0,4,10
1208,"2018 Copa Do Brasil, Quarterfinals",Cruzeiro,Santos,1,0,51, 49,1,,16,17,4,4,0,1,1,1,4,7
1209,Brasileirao 2018,Corinthians,Palmeiras,2,1,53, 47,4,,15,21,3,3,0,0,0,2,10,3
1210,2020 Brasileiro Serie A,Athletico-PR,Atletico-GO,0,2,59, 40,0,,14,9,1,1,0,0,4,3,16,2
1211,Brasileirao 2017,Fluminense,Gremio,2,2,50, 50,2,,12,17,3,3,0,0,2,1,3,2
1212,"2021 Campeonato Carioca, Taca Guanabara",Nova Iguacu,Vasco da Gama,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1213,"2021 Brazilian Campeonato Mineiro, Regular Season",Athletic Club (Minas Gerais),America-MG,2,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1214,2022 Brasileiro Serie A,Internacional,Botafogo,1,0,78, 22,3,,13,13,6,6,2,2,5,3,7,2
1215,2017 Serie B,America-MG,Juventude,1,1,48, 52,3,,15,17,4,4,0,1,4,2,7,3
1216,"2020 Copa Libertadores, Quarterfinals",Gremio,Santos,1,1,63, 37,4,,10,20,3,3,0,1,1,0,10,1
1217,Brasileirao 2018,Santos,Botafogo,0,1,51, 49,2,,19,16,2,2,0,0,0,1,9,5
1218,"2019 Copa do Nordeste, Copa do Nordeste - Group Stage",Bahia,Sergipe SE,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1219,Regular Season,Cuiaba,Oeste,1,0,41, 59,3,,19,19,4,4,0,0,1,1,4,6
1220,"2018 Brasileiro C, Regular Season",Tombense,Red Bull Bragantino,5,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1221,"2022 CONMEBOL Libertadores, Group Stage",Athletico-PR,Caracas FC,2,0,67, 33,1,,9,14,2,2,0,0,0,0,8,6
1222,Brasileirao 2018,Flamengo,Parana,1,0,63, 37,0,,11,8,0,0,0,0,1,1,10,5
1223,"2019  Club Friendly, Club Friendly",Flamengo,Eintracht Frankfurt,4,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1224,"2021 Campeonato Gaucho, First Round",Internacional,Ypiranga,4,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1225,"2020 Copa Sudamericana, Second Phase",Bahia,Melgar,2,2,51, 49,1,,13,12,2,2,0,0,2,0,6,5
1226,2021 Brasileiro Serie A,Cuiaba,Fluminense,4,0,58, 42,3,,15,16,2,2,1,0,1,2,1,5
1227,"2021 Brazilian Campeonato Mineiro, Regular Season",Atletico-MG,Uberlandia,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1228,"2018 Copa Sudamericana, Round of 16",Caracas FC,Athletico-PR,0,1,48, 52,6,,11,16,1,1,0,0,2,0,7,0
1229,2020-21 Brasileiro Serie B,Vitoria,Cruzeiro,2,1,53, 46,0,,25,17,1,1,1,0,3,4,9,1
1230,"2021 Copa do Nordeste, Copa do Nordeste - Quarterfinals",Fortaleza,CSA,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1231,2019 Brasileirao,Gremio,Goias,1,1,63, 37,4,,10,10,1,1,0,0,1,0,15,4
1232,"2022 Campeonato Carioca, Carioca Championship - Final",Fluminense,Flamengo,0,1,46, 54,1,,19,13,5,5,1,1,2,0,6,6
1233,Regular Season,Avai,Fortaleza,3,0,55, 45,6,,16,19,6,6,0,0,4,2,5,8
1234,"2021 Campeonato Paulista, Temporada Regular",Palmeiras,Sao Caetano,1,1,65, 35,3,,10,15,2,2,0,0,3,0,10,1
1235,Brasileirao 2018,Botafogo,Cruzeiro,1,1,42, 58,1,,13,17,3,3,0,0,0,0,5,2
1236,"2017 Campeonato Gaucho, Regular Season",Ypiranga,Internacional,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1237,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Palmeiras,Sao Bernardo,1,0,59, 41,3,,15,25,3,3,0,0,5,4,6,2
1238,"2019 Copa Do Brasil, Finals",Athletico-PR,Internacional,0,1,63, 37,3,,18,6,0,0,0,0,0,2,4,5
1239,Regular Season,America-MG,Botafogo SP,2,0,56, 44,2,,14,20,2,2,0,0,2,0,8,2
1240,"2018 Copa Libertadores, Quarterfinals",Boca Juniors,Cruzeiro,3,1,52, 48,2,,13,12,1,1,0,1,1,1,8,5
1241,"2022 CONMEBOL Libertadores, Group Stage",Flamengo,Talleres (Cordoba),0,0,57, 43,2,,16,13,3,3,0,0,1,3,9,2
1242,"2019 Copa Do Brasil, Round of 16",Atletico-MG,Santos,1,1,43, 57,3,,12,14,0,0,0,0,2,2,3,11
1243,2020 Brasileiro Serie A,Coritiba,Gremio,1,1,47, 53,2,,26,12,3,3,0,0,0,2,2,3
1244,"2020 Copa Libertadores, Group Stage",Gremio,America de Cali,3,4,59, 41,2,,17,27,6,6,1,0,0,4,2,1
1245,2020 Brasileiro Serie A,Atletico-GO,Atletico-MG,1,0,44, 56,4,,16,14,0,0,0,0,1,4,6,4
1246,"2019 Campeonato Paulista, Temporada Regular",Novorizontino,Corinthians,1,2,36, 64,4,,20,11,1,1,0,0,1,5,6,3
1247,2017 Serie B,Figueirense,Internacional,2,2,64, 36,1,,12,18,5,5,1,0,2,3,7,2
1248,"2021 Copa Libertadores, Group Stage",Flamengo,Liga de Quito,1,3,57, 43,0,,18,16,2,2,1,0,2,1,8,2
1249,2022 Brasileiro Serie A,Athletico-PR,Palmeiras,2,0,29, 71,2,,7,10,5,5,1,0,0,2,0,9
1250,Brasileirao 2018,Flamengo,Gremio,1,2,43, 57,4,,17,14,3,3,0,0,0,0,9,4
1251,Brasileirao 2017,Atletico-GO,Cruzeiro,1,1,54, 46,0,,16,18,2,2,0,0,2,0,4,6
1252,"2020 Campeonato Paulista, Finals",Palmeiras,Corinthians,1,1,42, 58,2,,19,11,3,3,0,0,1,1,5,5
1253,2019 Brasileirao,Cruzeiro,Internacional,0,1,52, 48,1,,18,14,3,3,0,0,0,1,3,3
1254,"2017 Copa Sudamericana, Quarterfinals",Fluminense,Flamengo,2,2,57, 43,2,,16,15,3,3,0,0,2,3,2,2
1255,"2019 Copa do Nordeste, Copa do Nordeste - Group Stage",Fortaleza,Bahia,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1256,2022 Brasileiro Serie B,Gremio,Criciuma,3,2,61, 39,1,,15,15,4,4,0,0,2,2,9,3
1257,2021 Brasileiro Serie B,Nautico,Goias,0,1,49, 51,4,,19,17,1,1,0,0,1,4,2,5
1258,"2021 Copa Libertadores, Group Stage",Cerro Porteno,Atletico-MG,1,0,41, 59,5,,14,16,5,5,0,0,0,0,2,5
1259,2020-21 Brasileiro Serie B,Guarani,Cuiaba,2,1,54, 46,2,,17,14,4,4,1,1,2,8,6,8
1260,Brasileirao 2018,Sao Paulo,Vasco da Gama,2,2,41, 59,2,,27,9,2,2,0,0,1,3,5,2
1261,Regular Season,Red Bull Bragantino,Oeste,2,0,63, 37,1,,10,21,2,2,0,0,1,4,5,3
1262,"2017 Copa do Nordeste, Copa do Nordeste - Group Stage",Bahia,Moto Club,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1263,"2022 Campeonato Carioca, Taca Guanabara",Flamengo,Resende,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1264,"2021 Campeonato Paulista, Temporada Regular",Corinthians,Ponte Preta,1,2,58, 42,2,,13,5,0,0,0,0,0,1,0,4
1265,"2021 Copa do Nordeste, Copa do Nordeste - Group Stage",4 de Julho Piripiri,Fortaleza,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1266,2019 Brasileirao,Gremio,Fortaleza,2,1,65, 35,2,,7,7,4,4,0,1,3,0,10,1
1267,"2021 Campeonato Paulista, Temporada Regular",Novorizontino,Sao Paulo,0,3,34, 66,2,,10,11,0,0,0,0,1,1,5,6
1268,2021 Brasileiro Serie A,Juventude,Palmeiras,1,2,42, 58,3,,11,24,3,3,0,0,0,1,7,4
1269,"2021 Copa Libertadores, Group Stage",Independiente Santa Fe,Fluminense,3,2,73, 27,3,,26,16,2,2,0,1,2,0,5,3
1270,Brasileirao 2018,Sao Paulo,Botafogo,0,3,41, 59,1,,19,16,3,3,0,0,3,1,3,3
1271,Brasileirao 2017,Vasco da Gama,Cruzeiro,1,0,50, 50,3,,12,18,1,1,0,0,1,4,6,4
1272,"2020 Copa Do Brasil, Round of 16",Ceara,Santos,1,0,40, 60,0,,16,9,2,2,0,2,2,1,8,3
1273,2020 Brasileiro Serie A,Santos,Corinthians,0,1,46, 53,0,,23,24,0,0,0,0,2,2,14,6
1274,"2019 Campeonato Paulista, Quarterfinals",Ituano,Sao Paulo,1,1,54, 46,3,,15,23,3,3,0,0,2,1,5,6
1275,"2021 Copa do Nordeste, Copa do Nordeste - Group Stage",Fortaleza,Treze,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1276,2022 Brasileiro Serie A,Red Bull Bragantino,Corinthians,0,1,57, 43,0,,11,9,2,2,0,0,3,1,1,1
1277,2022 Brasileiro Serie B,Gremio,Ituano,1,0,61, 39,1,,15,19,2,2,0,0,4,3,4,3
1278,Regular Season,Goias,Sampaio Correa,1,3,45, 55,4,,20,21,4,4,0,0,1,1,8,1
1279,"2022 Campeonato Carioca, Taca Guanabara",Botafogo,Flamengo,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1280,"2017 Copa Do Brasil, Second Round",Vitoria,Red Bull Bragantino,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1281,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Ituano,Santos,0,0,35, 65,3,,17,11,2,2,0,0,2,3,7,12
1282,"2018 Brasileiro C, SEMIFINALS",Operario PR,Red Bull Bragantino,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1283,"2018 Copa Do Brasil, Round of 16",Cruzeiro,Athletico-PR,3,1,45, 55,1,,12,18,2,2,0,0,0,1,9,6
1284,2020 Brasileiro Serie A,Santos,Athletico-PR,1,1,33, 67,1,,9,22,1,1,0,0,0,0,2,6
1285,2022 Brasileiro Serie A,Goias,Avai,1,2,46, 54,2,,13,10,2,2,1,0,1,2,6,2
1286,2017 Serie B,Figueirense,America-MG,1,0,64, 36,1,,16,18,1,1,0,0,2,3,6,7
1287,Brasileirao 2018,Botafogo,Corinthians,1,0,39, 61,5,,25,19,2,2,0,0,0,1,5,3
1288,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Botafogo,Cabofriense,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1289,"2021 Copa Do Brasil, First Round",Sao Raimundo-RR,Cruzeiro,2,0,45, 55,7,,16,18,1,1,0,0,2,4,8,4
1290,"2021 Copa Do Brasil, Round of 16",Sao Paulo,Vasco da Gama,4,0,49, 51,3,,20,13,1,1,0,0,1,1,9,4
1291,2020 Brasileiro Serie A,Gremio,Vasco da Gama,0,1,60, 40,3,,9,8,1,1,0,0,1,1,5,3
1292,Brasileirao 2017,Vasco da Gama,Flamengo,0,0,41, 59,2,,23,15,1,1,0,0,2,2,6,9
1293,"2022 Campeonato Paulista, Temporada Regular",Sao Paulo,Ituano,1,1,78, 22,4,,12,13,1,1,0,0,1,0,12,1
1294,2019 Brasileirao,Avai,Corinthians,1,1,49, 51,3,,19,15,1,1,1,1,2,2,4,2
1295,2022 Brasileiro Serie B,Londrina,Gremio,1,0,55, 45,3,,13,11,3,3,0,0,2,2,4,4
1296,"2017 Brasileiro C, Regular Season",Red Bull Bragantino,Ypiranga,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1297,"2017 Copa Libertadores, Third Stage",Botafogo,Olimpia,2,2,45, 55,1,,17,13,3,3,0,0,0,1,4,4
1298,2020 Brasileiro Serie A,Botafogo,Ceara,2,1,61, 39,2,,17,19,4,4,1,1,1,0,4,2
1299,"2022 CONMEBOL Libertadores, Round of 16",Athletico-PR,Libertad,1,0,40, 60,1,,12,11,2,2,0,0,1,1,3,4
1300,2022 Brasileiro Serie A,Internacional,Santos,2,0,47, 53,2,,7,13,4,4,0,0,3,1,2,5
1301,Regular Season,Ponte Preta,Coritiba,1,1,29, 71,1,,20,19,2,2,1,0,0,3,4,2
1302,"2018 Copa Do Brasil, Round of 16",Palmeiras,America-MG,2,2,55, 45,1,,15,25,2,2,0,0,2,0,8,3
1303,Brasileirao 2018,Athletico-PR,Ceara,1,0,65, 35,3,,19,18,4,4,0,0,5,2,10,4
1304,2020 Brasileiro Serie A,Corinthians,Internacional,1,1,35, 65,0,,16,13,3,3,0,1,2,2,2,4
1305,"2018 Copa Do Brasil, First Round",Parnahyba,Coritiba,4,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1306,"2021 Campeonato Gaucho, First Round",Gremio,Brasil de Pelotas,2,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1307,"2017 Brasileiro C, Regular Season",ASA,Cuiaba,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1308,"2021 Campeonato Paulista, Temporada Regular",Ponte Preta,Santos,1,0,29, 71,2,,14,12,3,3,0,0,0,0,3,8
1309,2021 Brasileiro Serie B,Coritiba,Guarani,1,1,42, 58,3,,11,14,2,2,0,0,3,3,4,3
1310,Regular Season,Atletico-GO,Cuiaba,2,0,57, 43,3,,18,25,2,2,0,0,3,4,5,3
1311,"2017 Copa Do Brasil, Round of 16",Atletico-MG,Parana,2,3,56, 44,2,,17,12,4,4,0,0,3,3,7,2
1312,Brasileirao 2017,Botafogo,Vitoria,2,0,53, 47,2,,11,21,2,2,1,0,3,1,1,4
1313,2020 Brasileiro Serie A,Bahia,Santos,2,2,49, 51,5,,11,13,0,0,0,0,2,1,4,4
