id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
3067,"2017 Brasileiro C, SEMIFINALS",Sampaio Correa,Fortaleza,5,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3068,Brasileirao 2018,Atletico-MG,Fluminense,1,3,50, 50,2,,15,9,2,2,0,0,3,0,4,7
3069,2020 Brasileiro Serie A,Sao Paulo,Coritiba,1,1,64, 36,2,,19,16,2,2,0,0,1,0,7,2
3070,2022 Brasileiro Serie A,Ceara,Botafogo,1,0,65, 35,0,,16,15,4,4,1,0,1,2,4,2
3071,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Sao Paulo,Ituano,3,1,65, 35,6,,17,16,1,1,0,0,1,4,0,11
3072,2022 Brasileiro Serie A,Corinthians,Avai,5,1,54, 46,5,,22,12,1,1,0,0,1,5,7,2
3073,"2020 Copa Libertadores, Group Stage",Sao Paulo,Deportivo Binacional,0,1,75, 25,1,,10,14,1,1,0,0,3,2,12,1
3074,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",America-MG,Cruzeiro,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3075,Brasileirao 2017,Avai,Botafogo,2,1,41, 59,1,,20,22,4,4,0,0,1,0,8,4
3076,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Corinthians,Sao Paulo,2,2,40, 60,1,,17,11,3,3,0,0,1,4,7,5
3077,2020-21 Brasileiro Serie B,America-MG,Sampaio Correa,0,2,45, 54,0,,12,15,2,2,0,0,1,0,5,13
3078,2019 Brasileirao,Athletico-PR,Corinthians,2,1,62, 38,0,,16,12,4,4,0,0,3,1,11,3
3079,"2021 Campeonato Gaucho, First Round",EC Pelotas,Internacional,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3080,2021 Brasileiro Serie A,Athletico-PR,Ceara,3,0,52, 48,3,,9,10,3,3,0,1,0,2,6,3
3081,"2017 Copa Do Brasil, Third Round",Cruzeiro,Murici,2,1,57, 43,1,,18,9,1,1,0,0,3,1,6,4
3082,"2022 CONMEBOL Sudamericana, Group Stage",Cuiaba,Melgar,2,0,43, 57,5,,11,15,4,4,0,0,4,5,2,9
3083,"2017 Copa Libertadores, Group Stage",San Lorenzo,Flamengo,1,3,59, 41,2,,6,23,2,2,0,0,1,0,10,3
3084,Regular Season,Atletico-GO,Coritiba,3,2,52, 48,2,,11,14,1,1,0,0,2,1,7,5
3085,2021 Brasileiro Serie B,Cruzeiro,Guarani,2,0,51, 49,3,,17,16,4,4,0,0,0,1,7,5
3086,"2021 Campeonato Carioca, Taca Guanabara",Boavista,Vasco da Gama,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3087,Brasileirao 2018,Gremio,Flamengo,2,1,34, 66,1,,21,17,4,4,0,0,1,2,3,1
3088,2019 Brasileirao,Chapecoense,Goias,1,0,50, 50,6,,23,14,5,5,0,0,1,2,6,9
3089,2022 Brasileiro Serie A,Atletico-GO,Athletico-PR,1,0,64, 36,3,,8,12,0,0,0,0,1,0,7,4
3090,2022 Brasileiro Serie A,Atletico-MG,Juventude,0,0,61, 39,4,,13,13,1,1,0,0,3,3,3,4
3091,2021 Brasileiro Serie A,Fluminense,Ceara,2,0,63, 37,2,,24,21,3,3,0,0,2,0,4,0
3092,Brasileirao 2017,Palmeiras,Flamengo,1,1,45, 55,1,,12,18,1,1,0,0,0,6,4,5
3093,2019 Brasileirao,Botafogo,Vasco da Gama,2,2,55, 45,2,,15,16,3,3,0,0,1,1,4,9
3094,2020-21 Brasileiro Serie B,Cuiaba,Chapecoense,2,1,60, 40,1,,15,15,3,3,1,1,2,5,8,1
3095,"2017 Copa Libertadores, Group Stage",Athletico-PR,Universidad Catolica,2,0,48, 52,4,,8,19,2,2,0,1,1,2,1,2
3096,"2020 Campeonato Paulista, Temporada Regular",Sao Paulo,Santos,2,1,69, 31,0,,12,14,1,1,0,1,4,0,8,1
3097,2021 Brasileiro Serie A,Fluminense,America-MG,1,2,48, 52,3,,21,17,2,2,0,0,1,0,2,1
3098,Brasileirao 2018,Santos,Palmeiras,0,2,50, 50,5,,15,16,6,6,0,0,1,0,8,2
3099,"2018 Copa Do Brasil, Second Round",CSA,Sao Paulo,0,0,40, 60,2,,16,20,1,1,1,0,2,0,3,3
3100,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",America TO,America-MG,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3101,Regular Season,Fortaleza,Brasil de Pelotas,1,1,60, 40,2,,10,21,5,5,0,0,3,3,6,7
3102,"2020 Copa Sudamericana, Second Phase",Vasco da Gama,Caracas FC,0,1,65, 35,1,,16,20,3,3,1,0,0,2,4,2
3103,"2019 Copa do Nordeste, Copa do Nordeste - Finals",Botafogo PB,Fortaleza,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3104,"2022 Campeonato Carioca, Taca Guanabara",Fluminense,Bangu,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3105,2022 Brasileiro Serie A,Coritiba,Flamengo,1,1,33, 67,1,,13,11,3,3,0,0,0,3,5,8
3106,2022 Brasileiro Serie B,CSA,Gremio,2,1,44, 56,5,,13,12,2,2,0,0,0,1,10,13
3107,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",Caldense,Atletico-MG,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3108,2022 Brasileiro Serie A,Internacional,Fortaleza,2,1,52, 48,2,,15,13,5,5,0,0,0,3,8,5
3109,2021 Brasileiro Serie A,Atletico-GO,Sao Paulo,0,2,38, 62,3,,16,14,5,5,0,0,1,1,3,12
3110,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Corinthians,Ponte Preta,3,0,75, 25,1,,16,17,2,2,1,1,2,1,13,3
3111,"2018 Campeonato Gaucho, Regular Season",Avenida,Gremio,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3112,2019 Brasileirao,Ceara,Fluminense,2,1,29, 71,4,,12,8,1,1,0,0,1,2,4,10
3113,"2020 Copa Libertadores, Group Stage",Sao Paulo,River Plate,1,3,54, 46,1,,14,17,2,2,0,0,0,3,4,7
3114,"2020 Copa Do Brasil, First Round",Altos,Vasco da Gama,2,1,43, 57,7,,16,16,1,1,0,0,0,1,3,7
3115,"2019-20 Campeonato Carioca, 2020 Taca Guanabara",Portuguesa-RJ,Vasco da Gama,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3116,2022 Brasileiro Serie A,Corinthians,Palmeiras,3,2,57, 43,3,,15,10,2,2,0,0,1,4,5,3
3117,"2017 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Fluminense,Volta Redonda,4,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3118,2022 Brasileiro Serie A,Palmeiras,Atletico-GO,0,2,49, 51,1,,12,16,1,1,0,1,2,2,12,4
3119,Brasileirao 2017,Palmeiras,Atletico-MG,2,0,53, 47,3,,20,12,4,4,0,0,1,2,7,6
3120,Brasileirao 2017,Santos,Vitoria,1,1,54, 46,4,,12,15,4,4,0,0,0,0,5,12
3121,"2022 Campeonato Paulista, Quarterfinals",Red Bull Bragantino,Santo Andre,3,1,48, 52,1,,11,9,1,1,0,0,1,2,4,2
3122,"2021 Campeonato Carioca, Taca Guanabara",Fluminense,Nova Iguacu,1,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
